# Competing band names
The Broken Strings
Neon Nightmare
Velvet Storm
Chrome Hearts
Electric Roses
Shadow Dancers
Iron Angels
Crimson Tide
The Wild Ones
Midnight Express
Silver Bullets
Toxic Waste
Black Thunder
White Lightning
Red Devils
Blue Angels
Green Machine
Purple Haze
Orange Crush
Yellow Submarine
The Outlaws
The Rebels
The Misfits
The Underdogs
Steel Panthers
Velvet Underground
The Doors
The Windows
Fire Brigade
Ice Storm
Thunder Road
Lightning Strike
Crystal Vision
Diamond Dogs
Plastic Souls
Paper Tigers
Wooden Hearts
Glass Houses
Stone Cold
Metal Machine
Acid Rain
Sugar Rush
Honey Trap
Silk Road
Leather Jacket
Denim Dreams
Vinyl Records
Cassette Tape
Radio Static
Television Screen
Satellite Signal
Digital Age
