# Venue names for performances
The Dive Bar
Club Underground
The Warehouse
Metro Arena
Stadium Megaplex
The Cave
Neon Palace
Thunder Dome
Electric Ballroom
The Pit
Crystal Club
Shadow Lounge
Fire Station
Ice House
Steel Mill
The Factory
Velvet Room
Gold Rush
Silver Screen
Bronze Medal
The Garage
Basement Blues
Attic Sessions
Rooftop Rocks
Pier Pressure
Dock of the Bay
Harbor Lights
Lighthouse
The Observatory
Planet Rock
Starlight Express
Galaxy Club
Cosmic Café
Quantum Lounge
Atomic Theater
Nuclear Reactor
The Bunker
The Fortress
Castle Rock
Tower Records
Bridge Club
Tunnel Vision
Highway Rest
Railway Station
Airport Lounge
Spaceport Cantina
The Colosseum
The Forum
The Academy
The Institute
The Laboratory
